Artis,Judul,Lirik
One Direction,Walking in the Wind,"A week ago you said to me
""Do you believe I'll never be too far?""
If you're lost, just look for me
You'll find me in the region of the summer stars
The fact that we can sit right here and say goodbye
Means we've already won
A necessity for apologies between you and me
Baby, there is none
We had some good times, didn't we?
We had some good tricks up our sleeve
Goodbyes are bittersweet
But it's not the end
I'll see your face again
And you will find me
Yeah, you will find me
In places that we've never been
For reasons we don't understand
Walking in the wind
Walking in the wind
Yesterday I went out to celebrate the birthday of a friend
But as we raised our glasses up to make a toast
I realised you were missing
We had some good times, didn't we?
We wore our hearts out on our sleeve
Goodbyes are bittersweet
But it's not the end
I'll see your face again
And you will find me
Yeah, you will find me
In places that we've never been
For reasons we don't understand
Walking in the wind
Walking in the wind
And I know we'll be alright, child
Just close your eyes and see
And I'll be by your side
Any time you're needing me
Oh, yeah
And you will find me
Yeah, you will find me
In places that we've never been
For reasons we don't understand
Walking in the wind
Walking in the wind
Walking in the wind"
Daya,Sit Still Look Pretty,"Could dress up, to get love
But guess what?
I'm never gonna be that girl
Who's living in a Barbie world
Could wake up, and make up, and play dumb
Pretending that I need a boy
Who's gonna treat me like a toy
I know the other girls wanna wear expensive things, like diamond rings
But I don't wanna be the puppet that you're playing on a string
This queen don't need a king
Oh, I don't know what you've been told
But this girl right here's gonna rule the world
Yeah, that's where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
No, I don't wanna sit still look pretty
Mr. Right could be nice, for one night
But then he wanna take control
And I would rather fly solo
That Snow White
She did it right in her life
Had 7 men to do the chores
'Cause that's not what a lady's for
The only thing that a boy's gonna give a girl for free's captivity
And I might love me some vanilla but I'm not that sugar sweet
Call me HBIC
Oh, I don't know what you've been told
But this girl right here's gonna rule the world
Yeah, that's where I'm gonna be, because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be, 'cause I don't wanna be
No, I don't wanna sit still look pretty
Sure I'm a pretty girl up in a pretty world
But they say pretty hurts
And I don't wanna sit still
I'm a pretty girl up in a pretty world
But no, I won't sit still, look pretty
Sure I'm a pretty girl up in a pretty world
But they say pretty hurts
And I don't wanna sit still
I'm-I'm a pretty girl up in a pretty world
But no, I won't sit still, look pretty
Oh, I don't know what you've been told
But this girl right here's gonna rule the world
Yeah, that's where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
No, I don't wanna sit still look pretty
Oh, I don't know what you've been told
But this girl right here's gonna rule the world
Yeah, that's where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
No, I don't wanna sit still, look pretty
Sit still, look pretty
Sit still, look pretty
Sit still, look pretty
Sit still, look pretty
"
Miley Cyrus,Angels like you,"Mmm, mmm, mmm
Flowers in hand, waiting for me
Every word in poetry
Won't call me by name, only ""baby""
The more that you give, the less that I need
Everyone says I look happy
When it feels right
I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down hell with me
I'm everything they said I would be
La-la-la
I'm everything they said I would be
I'll put you down slow, love you goodbye
Before you let go, just one more time
Take off your clothes, pretend that it's fine
A little more hurt won't kill you
Tonight, mother says, ""You don't look happy""
Close your eyes
I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down hell with me
I'm everything they said I would be
I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything (everything)
And it's not your fault I can't be what you need
Baby, angels like you can't fly down hell with me, oh
Angels like you can't fly down hell with me"
Bruno Mars,When i was your man,"Same bed but it feels just a little bit bigger now
Our song on the radio but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name
It all just sounds like ooh, ooh, ooh, hoo
Mm, too young, too dumb to realize
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party 'cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man
My pride, my ego, my needs, and my selfish ways
Caused a good strong woman like you to walk out my life
Now I never, never get to clean up the mess I made, oh
And that haunts me every time I close my eyes
It all just sounds like ooh, ooh, ooh, hoo
Mm, too young, too dumb to realize
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party 'cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man
Although it hurts
I'll be the first to say that I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know
I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you loved to dance
Do all the things I should have done
When I was your man
Do all the things I should have done
When I was your man"
Adele,Someonne like you,"I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things, I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me, "" I beg
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
""Sometimes it lasts in love, but sometimes it hurts instead""
You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me, "" I begged
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?
Never mind, I'll find someone like you
I wish nothing but the best for you
""Don't forget me, "" I beg
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me, "" I begged
I remember you said
""Sometimes it lasts in love, but sometimes it hurts instead""
""Sometimes it lasts in love, but sometimes it hurts instead"""
Tripov,All Day All night,"A-a-a, a-a-a ah, a-a-a, a-a-a ah, a-a-a, a-a-a ah
All day all night, yeah
A-a-a, a-a-a ah, a-a-a, a-a-a ah, a-a-a, a-a-a ah
All day all night
It's been twelve days
I think I'm thinkin' straight
Everything reminds me of your face but
I say okay, maybe it's a phase
Why is it so
Damn hard to make you leave?
Every time these love songs make me sleep but
Trust me I'll have you on repeat
Honestly where have you been all my life?
You got me, got me hypnotized
Always, always on my sight
You're my, you're my golden prize
All day all night, yeah
You got me, got me hypnotized
Can't wait, can't wait 'til you're mine
La la lost inside your eyes
All day all night, yeah
A-o-o, a-o-o oh, a-o-o, a-o-o oh, a-o-o, a-o-o oh
All day all night yeah
A-o-o, a-o-o oh, a-o-o, a-o-o oh, a-o-o, a-o-o oh
All day all night yeah
Propagandas
Find ways to know 'bout ya
You will always be on my agenda
Still worried there's someone else
Oh my God, who's Cassandra
Honestly I'm falling in love with ya
You got me, got me hypnotized
Always, always on my sight
You're my, you're my golden prize
All day all night, yeah
You got me, got me hypnotized
Can't wait, can't wait 'til you're mine
La la lost inside your eyes
All day all night, yeah
A-o-o, a-o-o oh, a-o-o, a-o-o oh, a-o-o, a-o-o oh
All day all night yeah
A-o-o, a-o-o oh, a-o-o, a-o-o oh, a-o-o, a-o-o oh
All day all night yeah
You got me, got me hypnotized
Always, always on my sight
You're my, you're my golden prize
All day all night, yeah
You got me, got me hypnotized
Can't wait, can't wait 'til you're mine
La la lost inside your eyes
All day all night, yeah
All day all night
All day all night
All day all night you got me
You got me all day all night
All day all night
All day all night
All day all night you got me
You got me all day all night"
Gym class heroes,Stereo Hearts,"My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-ote
Make me your radio
And turn me up when you feel low (turn it up a little bit)
This melody was meant for you (right there)
Just sing along to my stereo (Gym Class Hero, baby)
If I was just another dusty record on the shelf
Would you blow me off and play me like everybody else?
If I asked you to scratch my back, could you manage that?
Like it yikky yeah, check it Travie, I can handle that
Furthermore, I apologize for any skipping tracks
It's just the last girl that played me left a couple cracks
I used to, used to, used to, used to, now I'm over that
'Cause holding grudges over love is ancient artifacts
If I could only find a note to make you understand
I'd sing it softly in your ear and grab you by the hand
Just keep it stuck inside your head, like your favorite tune
And know my hearts a stereo that only plays for you
My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-ote
Make me your radio
And turn me up when you feel low
This melody was meant for you
Just sing along to my stereo
to my stereo
(Oh, oh-oh, oh) just sing along to my stereo
Let's go!
If I was an old-school, fifty-pound boombox (remember them?)
Would you hold me on your shoulder, wherever you walk?
Would you turn my volume up in front of the cops?
And crank it higher every time they told you to stop
And all I ask is that you don't get mad at me
When you have to purchase mad D batteries
Appreciate every mixtape your friends make
You never know, we come and go like on the interstate (never know)
I think I finally found a note to make you understand
If you can hit it, sing along and take me by the hand
Just keep me stuck inside your head, like your favorite tune
You know my heart's a stereo that only plays for you
My heart's a stereo
It beats for you, so listen close (listen)
Hear my thoughts in every no-ote
Make me your radio (come on)
And turn me up when you feel low (turn it up)
This melody was meant for you
Just sing along to my stereo (sing along like)
to my stereo
(Oh, oh-oh, oh) just sing along to my stereo
I only pray you'll never leave me behind (never leave me)
Because good music can be so hard to find (so hard to find)
I take your hand, hold it closer to mine (yeah)
Thought love was dead, but now you're changing my mind
My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-ote
Make me your radio
And turn me up when you feel low
This melody was meant for you
Just sing along to my stereo"
John Mayer ,New Light,"I'm the boy in your other phone
Lighting up inside your drawer at home all alone
Pushing 40 in the friend zone
We talk and then you walk away every day
Oh you don't think twice bout me
And maybe you're right to doubt me but
But if you give me just one night
You're gonna see me in a new light
Yeah if you give me just one night
To meet you underneath the moonlight
Oh I want a take two
I wanna break through
I wanna know the real thing about you
So I can see you in a new light
Take a ride up to Malibu
I just wanna sit and look at you, look at you
What would it matter if your friends knew
Who cares what other people say anyway
Oh we can go far from here
And make a new world together babe
'Cause if you give me just one night
You're gonna see me in a new light
Yeah, if you give me just one night
To meet you underneath the moonlight
Oh I want a take two
I wanna break through
I wanna know the real thing about you
So I can see you in a new light
Yeah if you give me just one night
You're gonna see me in a new light
Yeah if you give me just one night
To meet you underneath the moonlight
What do I do with all this
What do I do with all this
This love that's running through my veins for you
What do I do with all this
What do I do with all this
This love that's running through my veins for you
What do I do with all this
What do I do with all this
This love that's running through my veins for you
What do I do with all this
What do I do with all this, oooh"
whitney houston,Saving all my love for you,"A few stolen moments is all that we share
You've got your family, and they need you there
Though I've tried to resist, being last on your list
But no other man's gonna do
So I'm saving all my love for you

It's not very easy, living all alone
My friends try and tell me, find a man of my own
But each time I try, I just break down and cry
Cause I'd rather be home feeling blue
So I'm saving all my love for you

You used to tell me we'd run away together
Love gives you the right to be free
You said be patient, just wait a little longer
But that's just an old fantasy
I've got to get ready, just a few minutes more
Gonna get that old feeling when you walk through that door
For tonight is the night, for feeling alright
We'll be making love the whole night through
So I'm saving all my love
Yes I'm saving all my love
Yes I'm saving all my love for you

No other woman, is gonna love you more
Cause tonight is the night, that I'm feeling alright
We'll be making love the whole night through
So I'm saving all my love
Yeah I'm saving all my love
Yes I'm saving all my love for you
For you, for you"
bee gees,How deep is your love,"I know your eyes in the morning sun

I feel you touch me in the pouring rain

and the moment that you wander far from me

I wanna feel you in my arms again

 

And you come to me on a summer breeze

Keep me warm in your love, then you softly leave

And it's me you need to show

How deep is your love

 

How deep is your love, how deep is your lov

I really need to learn

'Cause we're living in a world of fools

Breaking us down when they all should let us be

We belong to you and me

 

I believe in you

You know the door to my very soul

You're the light in my deepest, darkest hour

You're my saviour when i fall

 

And you may not think i care for you

When you know down inside that i really do

And it's me you need to show

How deep is your love

 

How deep is your love, how deep is your love

I really need to learn

'Cause we're living in a world of fools

Breaking us down when they all should let us be

We belong to you and me

 

Na na na na na

Na na na na na na

Na na na na na na na na na na

Na na na na na na na na

 

And you come to me on a summer breeze

Keep me warm in your love, then you softly leave

And it's me you need to show

How deep is your love

 

How deep is your love, how deep is your love

I really need to learn

'Cause we're living in a world of fools

Breaking us down when they all should let us be

We belong to you and me

 

How deep is your love, how deep is your love

I really need to learn

'Cause we're living in a world of fools

Breaking us down when they all should let us be

We belong to you and me

Na na na na na

 

How deep is your love, how deep is your love

I really need to learn

‘Cause we're living in a world of fools

Breaking us down when they all should let us be

We belong to you and me"
Boyz II Men,On Bended Knee,"Darlin' I, I can't explain
Where did we lose our way?
Girl it's drivin' me insane
And I know I just need one more chance
To prove my love to you
And if you come back to me
I'll guarantee
That I'll never let you go

Can we go back to the days our love was strong?
Can you tell me how a perfect love goes wrong?
Can somebody tell me how to get things back
The way they use to be?
Oh God give me a reason
I'm down on bended knee
I'll never walk again until you come back to me
I'm down on bended knee

So many nights I dream of you
Holding my pillow tight
And I know I don't need to be alone, yeah
When I open up my eyes
To face reality
Every moment without you
It seems like eternity
I'm begging you, begging you come back to me

Can we go back to the days our love was strong?
Can you tell me how a perfect love goes wrong?
Can somebody tell me how to get things back
The way they use to be?
Oh God give me a reason
I'm down on bended knee
I'll never walk again until you come back to me
I'm down on bended knee

Baby, I'm sorry
Please forgive me for all the wrong I've done
Please come back home, girl
I know you put all your trust in me
I'm sorry I let you down
Please forgive me

I'm Gonna swallow my pride
Say I'm sorry
Stop pointing fingers the blame is on me
I want a new life
And I want it with you
If you feel the same
Don't ever let it go
You gotta believe in the spirit of love
It'll heal all things
It won't hurt anymore
No I don't believe our love's terminal
I'm down on my knees begging you please come home

Can we go back to the days our love was strong?
Can you tell me how a perfect love goes wrong?
Can somebody tell me how to get things back
The way they used to be?
Oh God give me a reason
I'm down on bended
Down on bended knee

Can we go back to the days our love was strong?
Can you tell me how a perfect love goes wrong?
Can somebody tell me how to get things back
The way they use to be?
Oh God give me a reason
I'm down on bended knee

I'll never walk again
Till you come back to me
I'm down on bended knees"
One Direction,Best song ever,"Maybe it's the way she walked (wow)

Straight into my heart and stole it

Through the doors and passed the guards (wow)

Just like she already owned it

 

I said, ""Can you give it back to me?""

She said, ""Never in your wildest dreams.""

 

And we danced all night to the best song ever

We knew every line

Now i can't remember

How it goes but i know

That i won't forget her

'Cause we danced all night to the best song ever

 

I think it went oh, oh, oh

I think it went yeah, yeah, yeah

I think it goes...

 

Said her name was Georgia Rose (wow)

And her daddy was a dentist

 

Said i had a dirty mouth (i got a dirty mouth)

But she kissed me like she meant it

 

I said, ""Can i take you home with me?""

She said, ""Never in your wildest dreams.""

 

And we danced all night to the best song ever

We knew every line

Now i can't remember

How it goes but i know

That i won't forget her

'Cause we danced all night to the best song ever

 

I think it went oh, oh, oh

I think it went yeah, yeah, yeah

I think it goes...

 

You know, i know, you know i'll remember you

And I know, you know, i know you'll remember me

 

(oh, oh, oh

Yeah, yeah, yeah)

 

You know, i know, you know I'll remember you

And i know, you know, i hope you remember how we danced

How we danced

1, 2, 1, 2, 3

 

How we danced all night to the best song ever

We knew every line

Now i can't remember

How it goes but I know

That i won't forget her

'Cause we danced all night to the best song ever

(we danced, we danced, it goes something like, yeah)

Danced all night to the best song ever

We knew every line

Now i can't remember

How it goes but i know

That i won't forget her

'Cause we danced all night to the best song ever

 

I think it went oh, oh, oh

I think it went yeah, yeah, yeah

I think it goes...

 

Best song ever

It was the best song ever

It was the best song ever"
One Direction,you & I,"I figured it out

I figured it out from black and white

Seconds and hours

Maybe they had to take some time

 

I know how it goes

I know how it goes for wrong and right

Silence and sound

Did they ever hold each other

Tight like us?

Did they ever fight like us?

 

You & I

We don't want to be like them

We can make it 'til the end

Nothing can come between

You & I

Not even the gods above

Could separate the two of us

No, nothing can come between

You & I

Oh, you & I

 

I figured it out

Saw the mistakes of up and down

Meet in the middle

There's always room for common ground

 

I see what it's like

I see what it's like for day and night

Never together

'Cause they see things in a different light

Like us

They never tried like us

 

You & I

We don't want to be like them

We can make it 'til the end

Nothing can come between

You & I

Not even the gods above

Could separate the two of us

 

'Cause you & I

 

We don't want to be like them

We can make it 'til the end

Nothing can come between you & I

Not even the gods above

Could separate the two of us

No, nothing can come between

You & I

 

You & I

 

Oh, you & I

Oh, you & I

 

We can make it if we try

You & I

 

Oh, you & I

You & I"
One Direction,Drag me Down,"I've got fire for a heart, I'm not scared of the dark
You've never seen it look so easy
I got a river for a soul, and baby, you're a boat
Baby, you're my only reason
"
imagine dragons,Bones,"Gimme, gimme, gimme some time to think
I'm in the bathroom, looking at me
Face in the mirror is all I need (ooh)
Wait until the reaper takes my life
Never gonna get me out alive
I will live a thousand million lives (ooh)
My patience is waning
Is this entertaining?
Our patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones
I-I-I got this feeling in my soul
Go ahead and throw your stones
'Cause there's magic in my bones
Playing with a stick of dynamite
There was never gray in black and white
There was never wrong 'til there was right (ooh, ah-ooh)
Feeling like a boulder hurtling
Seeing all the vultures circling
Burning in the flames I'm working in
Turning in a bed that's darkening
My patience is waning
Is this entertaining?
Our patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones (in my bones)
I-I-I got this feeling in my soul
Go ahead and throw your stones
'Cause there's magic in my bones
'Cause there's magic in my bones
Look in the mirror of my mind
Turning the pages of my life
Walking the path so many paced a million times
Drown out the voices in the air
Leaving the ones that never cared
Picking the pieces up and building to the sky
My patience is waning
Is this entertaining?
My patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones (magic in my bones)
I-I-I got this feeling in my soul
Go ahead and throw your stones (soul)
'Cause there's magic in my bones
There goes my mind (I-I-I)
Don't mind
There goes my mind (there it goes, there it goes)
There goes my mind (I-I-I)
Don't mind (there it goes)
There goes my mind
'Cause there's magic in my bones"
imagine dragons,Demons,"When the days are cold
And the cards all fold
And the saints we see are all made of gold
When your dreams, they fail
And the ones we hail
Are the worst of all, and the blood's run stale
I wanna hide the truth
I wanna shelter you
But with the beast inside
There's nowhere we can hide
No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come
When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide
When the curtains call
It's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave
And the masquerade
Will come callin' out at the mess you've made
Don't wanna let you down
But I am hell-bound
Though this is all for you
Don't wanna hide the truth
No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come
When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide
They say it's what you make
I say it's up to fate
It's woven in my soul
I need to let you go
Your eyes, they shine so bright
I wanna save that light
I can't escape this now
Unless you show me how
When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide"
imagine dragons,Bad Liar,"Oh, hush, my dear, it's been a difficult year
And terrors don't prey on
Innocent victims
Trust me, darling, trust me, darling
It's been a loveless year
I'm a man of three fears
Integrity, faith and
Crocodile tears
Trust me, darling, trust me, darling
So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape
I don't wanna fake it
Wish I could erase it
Make your heart believe
But I'm a bad liar, bad liar
Now you know
Now you know
I'm a bad liar, bad liar
Now you know, you're free to go (go)
Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I've been askin'
Oh, I've been askin' for problems, problems, problems
I wage my war, on the world inside
I take my gun to the enemy's side
Oh, I've been askin' for (trust me, darling)
Oh, I've been askin' for (trust me, darling)
Problems, problems, problems
So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape
I don't wanna fake it
Wish I could erase it
Make your heart believe
But I'm a bad liar, bad liar
Now you know
Now you know
That I'm a bad liar, bad liar
Now you know, you're free to go
I can't breathe, I can't be
I can't be what you want me to be
Believe me, this one time
Believe me
I'm a bad liar, bad liar
Now you know
Now you know
That I'm a bad liar, bad liar
Now you know, you're free to go
Oh
Please believe me
Please believe me"
Maroon 5,Payphone,"I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone, baby it's all wrong
Where are the plans we made for two
Yeah, I, I know it's hard to remember
The people we used to be
It's even harder to picture
That you're not here next to me
You say it's too late to make it
But is it too late to try
And in our time that you wasted
All of our bridges burned down
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time
When we called it love
But even the sun sets in paradise
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone, baby it's all wrong
Where are the plans we made for two
If Happy Ever Afters did exist
I would still be holding you like this
All those fairy tales are full of shit
One more fucking love song, I'll be sick
Oh, you turned your back on tomorrow
'Cause you forgot yesterday
I gave you my love to borrow
But you just gave it away
You can't expect me to be fine
I don't expect you to care
I know I've said it before
But all of our bridges burned down
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time
When we called it love
But even the sun sets in paradise
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone, baby it's all wrong
Where are the plans we made for two?
If Happy Ever Afters did exist
I would still be holding you like this
All those fairy tales are full of shit
One more fucking love song, I'll be sick
Now I'm at a payphone
Man, fuck that shit
I'll be out spending all this money
While you're sitting round wondering
Why it wasn't you who came up from nothing
Made it from the bottom
Now when you see me I'm stunting
And all of my cars start with a push of a button
Telling me the chances I blew up
Or whatever you call it
Switch the number to my phone
So you never could call it
Don't need my name on my show
You can tell it I'm ballin'
Swish, what a shame could have got picked
Had a really good game but you missed your last shot
So you talk about who you see at the top
Or what you could have saw but sad to say it's over for
Phantom pulled up valet open doors
Wished I'd go away, got what you was looking for
Now it's me who they want, so you can go and take
That little piece of shit with you
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone, baby it's all wrong
Where are the plans we made for two
If Happy Ever Afters did exist
I would still be holding you like this
All those fairy tales are full of shit
One more fucking love song, I'll be sick
Now I'm at a payphone"
Maroon 5,She Will Be Loved ,"Beauty queen of only 18
She had some trouble with herself
He was always there to help her
She always belonged to someone else
I drove for miles and miles
And wound up at your door
I've had you so many times
But somehow, I want more
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
Tap on my window, knock on my door, I
Want to make you feel beautiful
I know I tend to get so insecure
Doesn't matter anymore
It's not always rainbows and butterflies
It's compromise that moves us along, yeah
My heart is full and my door's always open
You come any time you want, yeah
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
And she will be loved
And she will be loved
I know where you hide
Alone in your car
Know all of the things that make you who you are
I know that goodbye means nothing at all
Comes back and makes me catch her
Every time she falls, yeah
Tap on my window, knock on my door, I
Want to make you feel beautiful
I don't mind spending every day
Out on your corner in the pouring rain, oh
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
And she will be loved
And she will be loved, yeah
I don't mind spending every day
Out on your corner in the pouring rain
Please don't try so hard to say goodbye"
Maroon 5,This Love,"I was so high, I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again but always in my heart, oh
This love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice
'Cause I won't say goodbye anymore
Whoa
Whoa
Whoa
I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied, oh
Kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again, but uh-oh
This love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice
'Cause I won't say goodbye anymore
Whoa
Whoa
Whoa
I'll fix these broken things, repair your broken wings
And make sure everything's all right (it's all right, it's all right)
My pressure on your hips, I'm sinking my fingertips
Every inch of you
Because I know that's what you want me to do
This love has taken its toll on me
She said goodbye too many times before
Her heart is breakin' in front of me
And I have no choice
'Cause I won't say goodbye anymore
This love has taken its toll on me
She said goodbye too many times before
And my heart is breakin' in front of me
And she said goodbye too many times before
This love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice
'Cause I won't say goodbye anymore"
John Mayer,Slow Dancing in a Burning Room,"It's not a silly little moment
It's not the storm before the calm
This is the deep and dying breath of
This love that we've been working on
Can't seem to hold you like I want to
So I can feel you in my arms
Nobody's gonna come and save you
We pulled too many false alarms
We're going down
And you can see it too
We're going down
And you know that we're doomed
My dear
We're slow dancing in a burning room
I was the one you always dreamed of
You were the one I tried to draw
How dare you say it's nothing to me?
Baby, you're the only light I ever saw
I'll make the most of all the sadness
You'll be a bitch because you can
You try to hit me just to hurt me
So you leave me feeling dirty
'Cause you can't understand
We're going down
And you can see it too
We're going down
And you know that we're doomed
My dear
We're slow dancing in a burning room
Go cry about it, why don't you?
Go cry about it, why don't you?
Go cry about it, why don't you?
My dear, we're slow dancing in a burning room
Burning room
Burning room
Don't you think we oughta know by now?
Don't you think we should have learned somehow?
Dont you think we oughta know by now?
Dont you think we should have learned somehow?
Don't you think we oughta know by now?
Don't you think we should have learned somehow?"
Bring Me The Horizon,Sleepwalking,"My secrets are burning a hole through my heart
And my bones catch a fever
When it cuts you up this deep
It's hard to find a way to breathe
Your eyes are swallowing me
Mirrors start to whisper, shadows start to sing
My skin's smothering me
Help me find a way to breathe
Time stood still the way it did before
It's like I'm sleepwalking
Fell into another hole again
It's like I'm sleepwalking
I'm at the edge of the world
Where do I go from here? Do I disappear?
Edge of the world
Should I sink or swim? Or simply disappear?
Your eyes are swallowing me
Mirrors start to whisper, shadows start to sing
My skin's smothering me
Help me find a way to breathe, sing it
Time stood still the way it did before
It's like I'm sleepwalking
Fell into another hole again
It's like I'm sleepwalking
Wake up
Take my hand and give me a reason to start again
Wake up
Pull me out and give me a reason to start again
Time stands still
Time stands still
(Time stands still)
(Time stands still)
Your eyes are swallowing me
Mirrors start to whisper, shadows start to sing
My skin's smothering me
Help me find a way to breathe
Time stood still the way it did before
It's like I'm sleepwalking
Fell into another hole again
It's like I'm sleepwalking (it's like I'm sleepwalking)
Time stood still the way it did before
It's like I'm sleepwalking"
